denominazione_regione;abitanti;;;;;;;;;
Abruzzo;1.285.256;;;;;;;;;
Basilicata;547.579;;;;;;;;;
Calabria;1.877.728;;;;;;;;;
Campania;5.679.759;;;;;;;;;
Emilia-Romagna;4.445.549;;;;;;;;;
Friuli Venezia Giulia;1.198.753;;;;;;;;;
Lazio;5.720.796;;;;;;;;;
Liguria;1.509.805;;;;;;;;;
Lombardia;9.966.992;;;;;;;;;
Marche;1.501.406;;;;;;;;;
Molise;296.547;;;;;;;;;
P.A. Bolzano;533.715;;;;;;;;;
P.A. Trento;544.745;;;;;;;;;
Piemonte;4.273.210;;;;;;;;;
Puglia;3.926.931;;;;;;;;;
Sardegna;1.598.225;;;;;;;;;
Sicilia;4.840.876;;;;;;;;;
Toscana;3.668.333;;;;;;;;;
Umbria;865.013;;;;;;;;;
Valle d'Aosta;123.895;;;;;;;;;
Veneto;4.852.453;;;;;;;;;